"carat","cut","color","clarity","depth","table","price","x","y","z"
0.28,"Very Good","D","VVS2",62.2,52,777,4.21,4.25,2.63
0.42,"Very Good","I","VS1",62.1,57,777,4.78,4.8,2.98
0.26,"Ideal","D","VVS2",61.4,55,777,4.1,4.17,2.54
0.35,"Ideal","D","VS2",62.1,54,777,4.54,4.58,2.83
0.42,"Ideal","G","SI1",62.2,53,777,4.85,4.86,3.02
0.41,"Ideal","J","IF",62.1,54,777,4.78,4.81,2.98
0.44,"Good","D","SI1",58.8,62,777,4.97,5,2.93
0.37,"Ideal","E","SI1",61.4,56,777,4.65,4.6,2.84
0.31,"Ideal","D","VVS2",60.9,57,777,4.38,4.42,2.68
0.31,"Very Good","F","VVS1",59.2,62,777,4.34,4.41,2.59
0.31,"Ideal","D","VVS2",61.9,55,777,4.36,4.39,2.71
0.31,"Ideal","D","VVS2",60.1,56,777,4.43,4.46,2.67
0.3,"Ideal","D","VS2",61.8,55,778,4.35,4.32,2.68
0.3,"Ideal","D","VS2",59.5,56,778,4.41,4.37,2.61
0.3,"Ideal","D","VS2",61,55,778,4.38,4.34,2.66
0.38,"Premium","J","VVS2",60.5,59,778,4.72,4.69,2.84
0.42,"Premium","E","SI2",61.8,61,778,4.84,4.8,2.98
0.32,"Very Good","F","VVS2",62.5,55,778,4.39,4.42,2.75
0.32,"Very Good","F","VVS2",62.3,57,778,4.38,4.41,2.73
0.31,"Very Good","G","VVS1",58.8,59,778,4.44,4.47,2.62
0.33,"Very Good","D","VS2",60,62,778,4.47,4.49,2.69
0.41,"Very Good","H","SI1",58.1,61,778,4.91,4.97,2.87
0.31,"Very Good","H","IF",61.3,55,778,4.37,4.4,2.69
0.31,"Ideal","H","VVS2",61.3,56,778,4.37,4.4,2.69
0.31,"Ideal","G","VVS1",62.3,53,778,4.37,4.42,2.74
0.31,"Ideal","G","VVS1",61.6,54,778,4.36,4.38,2.69
0.43,"Ideal","H","VS2",62.3,54,778,4.85,4.88,3.03
0.38,"Ideal","G","VS2",61.2,55,778,4.69,4.72,2.88
0.35,"Ideal","I","IF",62.7,55,778,4.51,4.55,2.84
0.38,"Premium","I","VS1",60.1,60,778,4.72,4.66,2.82
0.39,"Premium","E","SI2",60.7,62,778,4.74,4.72,2.87
0.3,"Ideal","E","VS1",62.5,56,778,4.3,4.28,2.68
0.44,"Premium","E","SI1",62.3,58,778,4.85,4.88,3.03
0.31,"Very Good","F","VVS1",59.4,57,779,4.39,4.43,2.62
0.32,"Ideal","E","VVS2",61.3,57,779,4.39,4.42,2.7
0.32,"Ideal","E","VVS2",62.1,53,779,4.41,4.44,2.75
0.32,"Ideal","E","VVS2",60.4,59,779,4.45,4.49,2.7
0.3,"Ideal","E","VVS2",62.2,54.4,779,4.3,4.32,2.68
0.3,"Ideal","E","VVS2",61.7,53.8,779,4.31,4.34,2.67
0.3,"Ideal","E","VVS2",62.3,54.1,779,4.28,4.34,2.69
0.32,"Ideal","E","VVS2",61.3,54,779,4.42,4.45,2.72
0.31,"Ideal","D","VVS2",61.9,56,779,4.32,4.37,2.69
0.32,"Ideal","G","VVS1",60.3,58,779,4.44,4.48,2.69
0.32,"Ideal","G","VVS1",61.7,56,779,4.39,4.42,2.72
0.31,"Ideal","F","VVS1",60.4,59,779,4.35,4.43,2.65
0.31,"Good","F","VS1",63.9,55,779,4.3,4.27,2.74
0.37,"Very Good","E","VVS2",61.2,55,779,4.63,4.68,2.85
0.41,"Very Good","D","VS2",62.8,58,779,4.73,4.76,2.98
0.36,"Very Good","D","VS2",62.4,58,780,4.48,4.53,2.81
0.43,"Ideal","I","VS2",62.1,57,780,4.83,4.86,3.01
0.34,"Ideal","D","VS1",61.4,57,780,4.49,4.54,2.77
0.32,"Ideal","D","VS1",60.3,57,780,4.42,4.44,2.67
0.35,"Ideal","D","SI1",61.5,56,780,4.54,4.57,2.8
0.35,"Ideal","D","SI1",61.1,56,780,4.55,4.59,2.79
0.3,"Good","F","IF",64.3,53,780,4.22,4.27,2.73
0.28,"Premium","E","VVS2",58.7,60,780,4.34,4.31,2.54
0.28,"Ideal","D","VVS1",61.7,57,780,4.23,4.2,2.6
0.33,"Premium","I","VVS1",61.9,60,780,4.44,4.41,2.74
0.33,"Premium","I","VVS1",61.7,61,780,4.45,4.43,2.74
0.33,"Premium","I","VVS1",62.5,61,780,4.42,4.38,2.75
0.33,"Premium","D","SI1",60.3,58,780,4.49,4.47,2.7
0.33,"Premium","D","SI1",60,59,780,4.5,4.47,2.69
0.33,"Ideal","D","SI1",62.5,54,780,4.44,4.43,2.77
0.33,"Ideal","D","SI1",61.3,56,780,4.46,4.44,2.73
0.33,"Premium","D","SI1",60.1,59,780,4.49,4.46,2.69
0.33,"Ideal","D","SI1",62.8,56,780,4.43,4.39,2.77
0.33,"Ideal","D","SI1",62.7,55,780,4.44,4.4,2.77
0.33,"Premium","D","SI1",61.5,60,780,4.44,4.41,2.72
0.33,"Ideal","D","SI1",62.4,54,780,4.44,4.41,2.76
0.33,"Ideal","D","SI1",62.8,55,780,4.45,4.41,2.78
0.33,"Premium","D","SI1",60.4,60,780,4.46,4.41,2.68
0.32,"Ideal","E","VS2",61.4,57,780,4.46,4.4,2.72
0.32,"Good","E","VS2",57,60,780,4.6,4.53,2.6
0.36,"Very Good","F","VS1",61.3,54,781,4.63,4.65,2.84
0.32,"Ideal","F","VS2",61.4,55,781,4.43,4.46,2.73
0.32,"Ideal","F","VS2",61.4,55,781,4.42,4.44,2.72
0.33,"Ideal","D","VS2",62.1,56,781,4.44,4.48,2.77
0.33,"Ideal","D","VS2",62.1,54,781,4.43,4.46,2.76
0.33,"Ideal","D","VS2",61.8,56,781,4.45,4.48,2.76
