"carat","cut","color","clarity","depth","table","price","x","y","z"
0.59,"Premium","H","SI1",62.4,58,1265,5.42,5.35,3.36
0.51,"Very Good","F","SI1",62,54,1265,5.15,5.18,3.2
0.59,"Very Good","F","SI2",63.7,57,1265,5.31,5.36,3.4
0.58,"Very Good","E","SI2",63.5,60,1265,5.24,5.28,3.34
0.51,"Very Good","E","SI2",58.3,63,1265,5.21,5.26,3.05
0.59,"Premium","H","SI1",62.9,60,1265,5.34,5.24,3.33
0.59,"Ideal","F","SI2",61.8,55,1265,5.41,5.44,3.35
0.51,"Ideal","E","SI2",62.7,53,1265,5.12,5.09,3.2
0.51,"Premium","E","SI2",61.7,58,1265,5.14,5.07,3.15
0.59,"Premium","H","SI1",61.9,59,1265,5.43,5.34,3.33
0.51,"Premium","E","SI2",61.8,58,1265,5.11,5.08,3.15
0.58,"Very Good","J","VS2",62.9,58,1266,5.3,5.32,3.34
0.51,"Good","E","SI1",57.4,62,1266,5.24,5.29,3.02
0.35,"Ideal","D","VVS1",62,54,1266,4.56,4.57,2.83
0.54,"Ideal","I","VS2",60.1,58,1266,5.28,5.34,3.19
0.5,"Ideal","I","VS1",61,57,1266,5.11,5.13,3.12
0.54,"Ideal","E","SI2",60.4,57,1266,5.27,5.3,3.19
0.52,"Ideal","G","SI1",61.7,56,1266,5.18,5.22,3.21
0.53,"Premium","F","SI1",62.2,58,1266,5.19,5.16,3.22
0.57,"Very Good","I","VS2",62.2,55,1267,5.33,5.34,3.32
0.46,"Very Good","E","VS2",59.8,59.6,1267,5.07,5.14,3.05
0.52,"Very Good","F","SI1",62.6,58,1267,5.11,5.14,3.21
0.52,"Very Good","F","SI1",63.7,58,1267,5.11,5.13,3.26
0.52,"Very Good","G","SI1",59.4,60,1267,5.23,5.28,3.12
0.52,"Very Good","G","SI1",60,57,1267,5.25,5.29,3.16
0.53,"Very Good","G","SI1",62.5,55,1267,5.12,5.24,3.24
0.38,"Ideal","E","VVS1",61.9,56,1267,4.64,4.67,2.88
0.38,"Ideal","E","VVS1",62.4,56,1267,4.64,4.67,2.9
0.38,"Ideal","E","VVS1",62.6,56,1267,4.6,4.64,2.89
0.38,"Premium","E","VVS1",61.9,58,1267,4.62,4.66,2.87
0.46,"Good","E","VS2",60.9,62,1267,4.93,4.96,3.01
0.53,"Good","F","SI1",63.8,56,1268,5.13,5.16,3.28
0.53,"Ideal","F","SI1",62.4,57,1268,5.18,5.21,3.24
0.53,"Good","G","SI1",63.8,56,1268,5.14,5.18,3.29
0.53,"Good","F","SI1",63.8,58,1268,5.12,5.17,3.28
0.53,"Premium","G","SI1",61.3,58,1268,5.16,5.21,3.18
0.53,"Very Good","F","SI1",62.9,57,1268,5.15,5.18,3.25
0.51,"Ideal","I","VS2",60.5,58,1268,5.15,5.2,3.13
0.54,"Ideal","H","SI1",61.1,56,1268,5.25,5.27,3.21
0.53,"Ideal","H","SI1",61,56,1268,5.23,5.26,3.2
0.53,"Ideal","H","SI1",60.8,56,1268,5.27,5.29,3.21
0.53,"Ideal","H","SI1",61.3,55,1268,5.23,5.27,3.22
0.48,"Good","F","VS1",61.5,60.7,1268,4.99,5.05,3.09
0.51,"Good","D","SI2",63.8,56,1268,5.09,5.07,3.24
0.51,"Good","D","SI2",63.9,55,1268,5.1,5.04,3.24
0.51,"Ideal","E","SI2",58.3,62,1268,5.2,5.19,3.04
0.51,"Very Good","H","VS2",63.5,60,1268,5.04,5.01,3.19
0.55,"Premium","E","SI2",59.7,58,1269,5.33,5.35,3.19
0.41,"Ideal","H","VS1",61.1,56,1269,4.83,4.86,2.96
0.41,"Ideal","G","IF",61.5,57,1269,4.78,4.82,2.95
0.42,"Good","E","VVS2",64.1,57,1269,4.7,4.73,3.02
0.55,"Premium","H","VS2",59.9,61,1270,5.31,5.28,3.17
0.57,"Very Good","J","VS1",62.9,57,1270,5.25,5.28,3.31
0.55,"Very Good","H","SI1",59.4,58,1270,5.36,5.38,3.19
0.38,"Ideal","D","VVS1",60.7,57,1270,4.69,4.74,2.86
0.47,"Ideal","D","VS2",60.3,57,1270,5.02,5.07,3.04
0.61,"Ideal","F","SI2",61,56,1270,5.48,5.53,3.36
0.56,"Ideal","H","SI1",62.3,53,1270,5.28,5.31,3.3
0.55,"Ideal","H","SI1",62.4,57,1270,5.23,5.28,3.28
0.56,"Ideal","H","SI1",61.9,54,1270,5.3,5.33,3.29
0.48,"Premium","H","VS1",60.7,61,1270,5.04,5.01,3.05
0.51,"Very Good","F","SI1",63.7,55,1271,5.06,5.11,3.24
0.55,"Very Good","F","SI1",63.6,57,1271,5.17,5.21,3.3
0.62,"Ideal","I","SI1",61.9,54,1271,5.48,5.5,3.4
0.39,"Very Good","G","IF",63.5,56,1271,4.67,4.65,2.96
0.39,"Premium","G","IF",59.8,55,1271,4.84,4.77,2.87
0.62,"Premium","E","SI2",60.7,58,1271,5.53,5.51,3.35
0.5,"Fair","G","VS1",64.9,57,1271,4.98,4.94,3.22
0.5,"Ideal","D","SI1",62.7,57,1272,5.06,5.08,3.18
0.5,"Premium","D","SI1",62.2,58,1272,5.08,5.12,3.17
0.5,"Very Good","F","VS2",63,57,1272,5.02,5.1,3.19
0.55,"Good","D","SI2",63.2,56,1272,5.21,5.24,3.3
0.55,"Good","D","SI2",63.3,56,1272,5.21,5.24,3.31
0.55,"Ideal","D","SI2",61.3,57,1272,5.23,5.28,3.22
0.6,"Premium","F","SI2",59.5,61,1272,5.48,5.45,3.26
0.34,"Ideal","D","VVS1",61.2,57,1272,4.51,4.54,2.77
0.34,"Ideal","D","VVS1",61.8,54,1272,4.49,4.54,2.79
0.46,"Very Good","F","VS2",59.6,58.2,1273,4.99,5.06,3
0.52,"Very Good","F","SI2",57.9,61,1273,5.28,5.33,3.07
0.57,"Very Good","G","SI1",60.4,58,1273,5.37,5.42,3.26
0.53,"Ideal","G","SI1",63,54,1273,5.18,5.14,3.25
0.53,"Premium","G","SI1",61,59,1273,5.25,5.21,3.19
0.53,"Premium","G","SI1",61.3,58,1273,5.22,5.19,3.19
0.55,"Ideal","E","SI2",61.8,55,1273,5.26,5.29,3.26
0.55,"Premium","E","SI2",61.9,58,1273,5.24,5.2,3.23
0.42,"Ideal","H","IF",61.7,55,1273,4.84,4.82,2.98
0.42,"Ideal","H","IF",61.9,56,1273,4.81,4.79,2.97
0.42,"Ideal","E","VVS2",62.3,55,1273,4.81,4.76,2.98
0.42,"Ideal","E","VVS2",61.8,56,1273,4.8,4.78,2.96
0.42,"Ideal","E","VVS2",61.3,56,1273,4.85,4.81,2.96
0.55,"Ideal","E","SI2",62,56,1273,5.27,5.22,3.25
0.7,"Fair","E","I1",66.1,58,1273,5.61,5.51,3.67
0.64,"Premium","H","SI1",60,59,1274,5.63,5.57,3.36
0.45,"Very Good","H","VVS1",62.3,57,1274,4.9,4.93,3.06
0.51,"Ideal","I","VVS2",61.6,54,1274,5.15,5.18,3.18
0.44,"Premium","E","VVS2",60,59,1274,4.95,4.99,2.98
0.44,"Ideal","E","VVS2",61.9,56,1274,4.88,4.91,3.03
0.44,"Ideal","E","VVS2",61.8,56,1274,4.88,4.93,3.03
0.44,"Very Good","E","VVS2",60.7,57,1274,4.9,4.92,2.98
0.44,"Ideal","E","VVS2",60.9,57,1274,4.9,4.95,3
0.51,"Premium","F","SI1",61.3,57,1274,5.19,5.08,3.15
0.51,"Ideal","F","SI1",62.8,57,1274,5.09,5.07,3.19
0.51,"Good","F","SI1",64.1,58,1274,5.03,5.02,3.22
0.51,"Good","F","SI1",64,57,1274,5.06,5.01,3.22
0.85,"Fair","H","I1",71.2,54,1274,5.77,5.65,4.07
0.52,"Very Good","E","SI1",58.8,59,1276,5.27,5.34,3.12
0.41,"Ideal","G","IF",62.1,57,1276,4.76,4.77,2.96
0.58,"Ideal","G","SI2",61.5,55,1276,5.38,5.42,3.32
0.65,"Ideal","J","SI1",61.4,55,1276,5.58,5.62,3.44
0.34,"Ideal","F","IF",61.7,55,1276,4.49,4.52,2.78
0.34,"Ideal","F","IF",61.9,55,1276,4.49,4.52,2.79
0.34,"Ideal","F","IF",61.7,55,1276,4.49,4.52,2.78
0.34,"Ideal","F","IF",61.4,57,1276,4.49,4.5,2.76
0.51,"Ideal","I","VS2",62.1,55,1277,5.1,5.13,3.17
0.54,"Very Good","E","SI2",62.4,57.7,1278,5.19,5.2,3.25
0.4,"Ideal","E","VVS1",60.8,57,1278,4.79,4.82,2.92
0.52,"Very Good","E","SI1",63.3,57,1279,5.11,5.13,3.24
0.5,"Good","E","SI1",63.5,61,1279,4.98,5.03,3.18
0.5,"Very Good","E","SI1",63,61,1279,5.03,5.07,3.18
0.5,"Fair","F","VS2",55.8,60,1279,5.31,5.27,2.95
0.5,"Good","F","VS2",57.8,63,1279,5.2,5.15,2.99
