"carat","cut","color","clarity","depth","table","price","x","y","z"
0.57,"Ideal","F","VS1",61,56,2193,5.36,5.4,3.28
0.76,"Fair","H","SI1",65.5,59,2193,5.75,5.66,3.74
0.74,"Premium","I","VS1",62.9,57,2193,5.79,5.76,3.63
0.74,"Fair","H","VS1",66.3,63,2193,5.63,5.5,3.69
0.7,"Premium","E","SI1",62.4,60,2194,5.72,5.63,3.54
0.71,"Ideal","G","SI2",59.5,57,2194,5.86,5.78,3.46
0.7,"Very Good","F","SI2",60.7,58,2195,5.73,5.77,3.49
0.83,"Good","J","SI1",63.8,58,2195,5.95,5.97,3.8
0.57,"Ideal","H","IF",62.2,56,2195,5.3,5.33,3.3
0.51,"Good","F","VVS2",62.4,63,2195,5.05,5.08,3.16
0.95,"Premium","J","I1",61.7,59,2195,6.32,6.26,3.88
0.73,"Very Good","H","SI1",62.8,55,2196,5.71,5.75,3.6
0.62,"Premium","E","VS1",62.2,58,2196,5.41,5.46,3.38
0.7,"Ideal","F","SI1",61.3,57,2196,5.76,5.79,3.54
0.7,"Premium","F","SI1",60.4,58,2196,5.76,5.82,3.5
0.7,"Very Good","F","SI1",62.7,57,2196,5.63,5.67,3.54
0.7,"Very Good","F","SI1",62.4,56,2196,5.64,5.7,3.54
0.7,"Premium","F","SI1",62.3,58,2196,5.67,5.72,3.55
0.7,"Very Good","F","SI1",59.8,60,2196,5.75,5.83,3.46
0.7,"Premium","F","SI1",62.1,59,2196,5.68,5.72,3.54
0.7,"Very Good","F","SI1",62.3,57,2196,5.65,5.69,3.53
0.7,"Very Good","F","SI1",62.6,56,2196,5.66,5.72,3.56
0.61,"Good","F","VS1",60,65,2196,5.53,5.47,3.3
0.51,"Ideal","G","VVS2",61.8,56,2197,5.11,5.15,3.16
0.51,"Ideal","G","VVS2",61.6,55,2197,5.13,5.16,3.17
0.73,"Very Good","D","SI1",62.2,57,2197,5.74,5.78,3.58
0.73,"Premium","F","SI2",61.4,58,2197,5.83,5.8,3.57
0.73,"Premium","I","VS1",61.8,62,2197,5.78,5.72,3.55
0.51,"Ideal","F","VVS2",61.7,56,2197,5.11,5.13,3.16
0.62,"Ideal","H","VVS1",61.1,56,2197,5.48,5.52,3.36
0.72,"Ideal","H","SI1",60.3,59,2197,5.77,5.83,3.5
0.54,"Very Good","F","VVS2",60.2,59,2198,5.27,5.3,3.18
